,trade_date,tcp_id,close,equity_series_code,exchange_ticker
1070,2015-12-23,10101000,809.0549985052736,EQ,PEL
1072,2015-12-24,10101000,823.4174244241173,EQ,PEL
1074,2015-12-28,10101000,823.1624701178656,EQ,PEL
1076,2015-12-29,10101000,839.3095761804708,EQ,PEL
1078,2015-12-30,10101000,839.8194847929742,EQ,PEL
1080,2015-12-31,10101000,853.5445249461886,EQ,PEL
1082,2015-12-01,10101000,833.7430738273096,EQ,PEL
1084,2015-12-02,10101000,823.8848406522453,EQ,PEL
1086,2015-12-03,10101000,816.0237495428191,EQ,PEL
1088,2015-12-04,10101000,805.7405925240021,EQ,PEL
1090,2015-12-07,10101000,816.5336581553223,EQ,PEL
1092,2015-12-08,10101000,798.516887180205,EQ,PEL
1094,2015-12-09,10101000,786.1516033269993,EQ,PEL
1096,2015-12-10,10101000,779.8627304394583,EQ,PEL
1098,2015-12-11,10101000,782.0723344269727,EQ,PEL
1100,2015-12-14,10101000,791.2506894520325,EQ,PEL
1102,2015-12-15,10101000,800.6415063989688,EQ,PEL
1104,2015-12-16,10101000,792.6529381364168,EQ,PEL
1106,2015-12-17,10101000,798.8568262552071,EQ,PEL
1108,2015-12-18,10101000,798.3044252583286,EQ,PEL
1110,2015-12-21,10101000,798.5593795645802,EQ,PEL
1112,2015-12-22,10101000,800.8539683208452,EQ,PEL
1289,2015-12-01,10100442,954.1128126340432,EQ,GLENMARK
1290,2015-12-03,10100442,929.4220087481959,EQ,GLENMARK
1291,2015-12-02,10100442,950.0381023660448,EQ,GLENMARK
1292,2015-12-04,10100442,926.3174675916258,EQ,GLENMARK
1293,2015-12-11,10100442,841.76722953066,EQ,GLENMARK
1294,2015-12-08,10100442,901.9662228947785,EQ,GLENMARK
1295,2015-12-07,10100442,927.5786874364825,EQ,GLENMARK
1296,2015-12-09,10100442,856.0772239242256,EQ,GLENMARK
1297,2015-12-14,10100442,828.1848619706655,EQ,GLENMARK
1298,2015-12-16,10100442,842.5433648198026,EQ,GLENMARK
1299,2015-12-15,10100442,835.8977064065195,EQ,GLENMARK
1300,2015-12-17,10100442,867.4767109835067,EQ,GLENMARK
1301,2015-12-21,10100442,901.5296467946358,EQ,GLENMARK
1302,2015-12-18,10100442,885.5703649116422,EQ,GLENMARK
1303,2015-12-22,10100442,910.1156434307752,EQ,GLENMARK
1304,2015-12-10,10100442,838.0320784516614,EQ,GLENMARK
1305,2015-12-24,10100442,899.5893085717795,EQ,GLENMARK
1306,2015-12-23,10100442,918.4105893334861,EQ,GLENMARK
1307,2015-12-28,10100442,896.3877505040665,EQ,GLENMARK
1308,2015-12-30,10100442,900.3654438609219,EQ,GLENMARK
1309,2015-12-29,10100442,905.8468993404913,EQ,GLENMARK
1310,2015-12-31,10100442,894.3989038256386,EQ,GLENMARK
3500,2015-12-07,10100456,338.35,EQ,GODREJPROP
3501,2015-12-01,10100456,333.95,EQ,GODREJPROP
3502,2015-12-02,10100456,335.75,EQ,GODREJPROP
3503,2015-12-03,10100456,339.25,EQ,GODREJPROP
3504,2015-12-04,10100456,334.0,EQ,GODREJPROP
3505,2015-12-08,10100456,332.2,EQ,GODREJPROP
3506,2015-12-09,10100456,325.95,EQ,GODREJPROP
3507,2015-12-10,10100456,330.7,EQ,GODREJPROP
3508,2015-12-11,10100456,328.05,EQ,GODREJPROP
3509,2015-12-14,10100456,325.6,EQ,GODREJPROP
3510,2015-12-15,10100456,330.55,EQ,GODREJPROP
3511,2015-12-16,10100456,329.45,EQ,GODREJPROP
3512,2015-12-17,10100456,332.05,EQ,GODREJPROP
3513,2015-12-18,10100456,329.7,EQ,GODREJPROP
3514,2015-12-21,10100456,330.2,EQ,GODREJPROP
3515,2015-12-22,10100456,342.4,EQ,GODREJPROP
3516,2015-12-23,10100456,339.15,EQ,GODREJPROP
3517,2015-12-24,10100456,336.55,EQ,GODREJPROP
3518,2015-12-28,10100456,335.9,EQ,GODREJPROP
3519,2015-12-29,10100456,332.65,EQ,GODREJPROP
3520,2015-12-30,10100456,336.9,EQ,GODREJPROP
3521,2015-12-31,10100456,336.25,EQ,GODREJPROP
6482,2015-12-01,10101293,21.09581451267646,EQ,TATASTEEL
6483,2015-12-02,10101293,21.655290965759434,EQ,TATASTEEL
6484,2015-12-03,10101293,21.32670955680594,EQ,TATASTEEL
6485,2015-12-04,10101293,21.335590135426305,EQ,TATASTEEL
6486,2015-12-07,10101293,21.628649229898343,EQ,TATASTEEL
6487,2015-12-08,10101293,20.847158311306245,EQ,TATASTEEL
6488,2015-12-09,10101293,20.14559260029743,EQ,TATASTEEL
6489,2015-12-10,10101293,20.69174818544986,EQ,TATASTEEL
6490,2015-12-11,10101293,21.393313896458675,EQ,TATASTEEL
6491,2015-12-14,10101293,21.75741761989363,EQ,TATASTEEL
6492,2015-12-15,10101293,21.69969385886126,EQ,TATASTEEL
6493,2015-12-16,10101293,21.730775884032536,EQ,TATASTEEL
6494,2015-12-17,10101293,22.831967632957767,EQ,TATASTEEL
